_ID,Start_time,Completion_time,Source_of_home_internet,Devices_used_in_the_household,Gender,Age,Annual_household_income,Highest_level_of_education,Housing_situation,Race_ethnicity,Searching_for_information_on_the_Internet,Managing_information_found_on_the_Internet_organizing_saving_and_storing_it_for_reuse,Filling_out_forms_on_the_Internet,Sending_and_receiving_emails,Downloading_content_such_as_receiving_email_attachments_online_forms_video_or_audio,Uploading_content_submitting_homework_sending_attachments_posting_to_discussion_boards,Minimizing_maximizing_and_moving_windows_on_the_computer_screen,Using_the_search_command_to_locate_a_file,Using_safe_online_practices_privacy_and_security,Participating_in_realtime_discussion_or_collaborative_documents,Videoconferencing_or_video_calls_such_as_Zoom_Skype_FaceTime,Audio_calls_audio-only_Zoom_Skype,Streaming_content_movies_or_TV_music_podcasts_live_broadcasts,Working_with_word_processing_applications_Word_Google_Docs,Working_with_spreadsheet_applications_Excel_Google_Sheets,Working_with_presentation_applications_PowerPoint_Google_Slides,Online_banking,Using_online_government_services_finding_tax_information,Online_shopping,Total_Percent_Score
1,6/30/2022 10:43,6/30/2022 10:46,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Man,18-29,"$60,000 to $99,999 ",Bachelor's degree,Rent home,White (non-Hispanic);,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,0.978947368
2,6/30/2022 10:51,6/30/2022 10:53,Provided by my building;Mobile data plan;,Smartphone or mobile phone;Laptop computer;Tablet;,Man,18-29,"$30,000 to $59,999",Master's degree,Rent home,Asian;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
3,7/1/2022 9:39,7/1/2022 9:41,"Broadband service (AT&T, Xfinity, etc.);","Laptop computer;Smartphone or mobile phone;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,30-39,"$30,000 to $59,999",Bachelor's degree,Rent home,White (Hispanic);,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
4,7/20/2022 10:27,7/20/2022 10:30,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Man,18-29,"Under $15,000",Some college,Group housing,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
5,7/29/2022 11:04,7/29/2022 11:06,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,18-29,"$125,000 or more",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,0.989473684
6,7/29/2022 11:25,7/29/2022 11:28,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,30-39,"$60,000 to $99,999 ",Master's degree,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
7,7/29/2022 12:43,7/29/2022 12:45,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Man,30-39,"$60,000 to $99,999 ",Bachelor's degree,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
8,7/29/2022 14:37,7/29/2022 14:41,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Man,50-59,"$60,000 to $99,999 ",Some college,Own home,White;,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,4,5,0.926315789
9,7/29/2022 17:12,7/29/2022 17:15,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,70-79,"$30,000 to $59,999",Master's degree,Own home,White;,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,0.978947368
10,7/29/2022 18:49,7/29/2022 18:53,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;,Woman,40-49,"$30,000 to $59,999",Bachelor's degree,Insecurely housed,White;,5,5,5,5,5,5,5,5,4,4,4,4,5,5,3,3,4,3,5,0.884210526
