EmployeeNumber,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,IT_Job,Salary
95,Some Grad,2,2,27,0,2,No,30000
38,Some College,1,2,30,1,4,No,28500
50,Some College,1,2,53,1,0,No,30450
22,Some College,1,3,28,0,3,No,31000
24,Some College,1,3,33,0,4,No,26700
51,HS Diploma,1,3,58,0,3,No,35500
77,Grad Degree,2,3,35,0,0,No,36500
85,Grad Degree,2,3,33,0,5,No,39000
88,Grad Degree,2,3,26,0,1,No,37000
61,Some College,2,3,37,1,8,No,37250
73,Grad Degree,2,3,47,1,3,Yes,42000
83,HS Diploma,2,3,31,1,9,Yes,39000
90,Grad Degree,2,3,35,1,2,No,36400
128,Grad Degree,3,3,33,1,1,No,32600
130,Grad Degree,3,3,36,1,0,No,35000
131,Grad Degree,3,3,33,1,5,Yes,43600
162,Grad Degree,4,3,50,1,12,No,44000
89,Grad Degree,2,4,28,0,0,No,34000
116,Grad Degree,3,4,26,0,0,No,41500
147,Grad Degree,4,4,30,0,1,No,41000
159,Grad Degree,4,4,27,0,0,No,41800
9,HS Diploma,1,4,62,1,0,No,34000
20,Some College,1,4,29,1,3,No,29600
30,Some College,1,4,33,1,7,No,33000
52,HS Diploma,1,4,44,1,10,Yes,34000
82,Grad Degree,2,4,29,1,4,No,33900
124,Grad Degree,3,4,30,1,0,No,39500
122,Some College,3,5,29,0,4,No,36300
135,Grad Degree,3,5,31,0,0,No,39500
146,Grad Degree,4,5,33,0,3,No,44500
152,Grad Degree,4,5,29,0,1,No,44500
23,HS Diploma,1,5,45,1,0,No,28500
64,Grad Degree,2,5,41,1,1,Yes,36000
71,HS Diploma,2,5,31,1,9,No,32000
97,Some Grad,2,5,29,1,0,No,40200
115,Grad Degree,3,5,48,1,6,No,34900
145,Grad Degree,3,5,32,1,3,No,39020
150,Grad Degree,4,5,32,1,4,No,42500
62,Some College,2,6,30,0,3,No,33000
137,Grad Degree,3,6,46,0,1,No,42000
139,Some Grad,3,6,43,0,5,No,44000
148,Grad Degree,4,6,37,0,3,No,44000
149,Grad Degree,4,6,30,0,0,No,44000
154,Grad Degree,4,6,29,0,0,No,42500
156,Grad Degree,4,6,31,0,2,No,45000
177,Grad Degree,5,6,41,0,10,No,47000
183,Grad Degree,5,6,33,0,2,No,47500
87,Some College,2,6,34,1,7,No,31900
118,Some Grad,3,6,38,1,0,No,35000
142,Grad Degree,3,6,39,1,5,No,45000
66,Some College,2,7,57,0,4,No,29900
174,Grad Degree,5,7,34,0,0,No,47500
184,Grad Degree,5,7,31,0,0,No,48000
31,HS Diploma,1,7,35,1,4,No,28760
43,Grad Degree,1,7,35,1,0,Yes,33500
53,Some College,1,7,31,1,0,No,29100
105,Grad Degree,3,7,32,1,3,No,34600
107,Grad Degree,3,7,29,1,2,No,36200
125,Some College,3,7,34,1,5,No,36300
143,Grad Degree,3,7,35,1,0,No,43900
151,Grad Degree,4,7,37,1,3,No,40260
155,Grad Degree,4,7,32,1,0,No,44000
