scores,location
626.1,Northern
633.7,Northern
633.1,Northern
647.2,Northern
646.5,Northern
640.8,Northern
647.5,Northern
651.8,Northern
642.2,Northern
652.7,Northern
666.8,Northern
654.6,Northern
662.7,Northern
669.5,Northern
663.6,Northern
668.4,Northern
673.2,Northern
647.5,Northern
647.8,Northern
663.5,Northern
661.2,Northern
672.2,Northern
630,Northern
636.6,Northern
634.3,Northern
651.2,Northern
645.8,Northern
649.7,Northern
659.4,Northern
657.5,Northern
666.8,Northern
647.5,Northern
647.8,Northern
663.5,Northern
628.7,Southern
636.7,Southern
644.3,Southern
643.4,Southern
649.5,Southern
651,Southern
654,Southern
648.9,Southern
656.2,Southern
656.4,Southern
667.4,Southern
669.5,Southern
666.6,Southern
664.5,Southern
668.5,Southern
671.6,Southern
666.5,Southern
676.6,Southern
678.6,Southern
695,Southern
695.3,Southern
625.4,Southern
640.4,Southern
646.2,Southern
643.6,Southern
655.8,Southern
653.7,Southern
634.2,Southern
638.7,Southern
653.7,Southern
658.8,Southern
663.4,Southern
661.5,Southern
663.4,Southern
682.5,Southern
683.7,Southern
688.6,Southern
703.6,Southern
